Date,SnP_Close,SnP_Volume
"May 19, 2020","2,922.94","4,984,330,000"
"May 18, 2020","2,953.91","6,373,670,000"
"May 15, 2020","2,863.70","5,507,700,000"
"May 14, 2020","2,852.50","5,651,130,000"
"May 13, 2020","2,820.00","6,151,650,000"
"May 12, 2020","2,870.12","5,119,630,000"
"May 11, 2020","2,930.19","4,819,730,000"
"May 08, 2020","2,929.80","4,876,030,000"
"May 07, 2020","2,881.19","5,178,790,000"
"May 06, 2020","2,848.42","4,892,570,000"
"May 05, 2020","2,868.44","5,140,290,000"
"May 04, 2020","2,842.74","4,735,930,000"
"May 01, 2020","2,830.71","4,759,810,000"
"Apr 30, 2020","2,912.43","6,544,980,000"
"Apr 29, 2020","2,939.51","6,645,640,000"
"Apr 28, 2020","2,863.39","5,691,160,000"
"Apr 27, 2020","2,878.48","5,203,930,000"
"Apr 24, 2020","2,836.74","5,382,810,000"
"Apr 23, 2020","2,797.80","5,773,530,000"
"Apr 22, 2020","2,799.31","5,084,920,000"
"Apr 21, 2020","2,736.56","5,121,010,000"
"Apr 20, 2020","2,823.16","5,228,630,000"
"Apr 17, 2020","2,874.56","5,804,810,000"
"Apr 16, 2020","2,799.55","5,228,810,000"
"Apr 15, 2020","2,783.36","5,208,000,000"
"Apr 14, 2020","2,846.06","5,615,730,000"
"Apr 13, 2020","2,761.63","5,319,530,000"
"Apr 09, 2020","2,789.82","7,899,550,000"
"Apr 08, 2020","2,749.98","5,875,710,000"
"Apr 07, 2020","2,659.41","7,050,410,000"
"Apr 06, 2020","2,663.68","6,403,840,000"
"Apr 03, 2020","2,488.65","6,096,970,000"
"Apr 02, 2020","2,526.90","6,464,190,000"
"Apr 01, 2020","2,470.50","5,964,000,000"
"Mar 31, 2020","2,584.59","6,576,210,000"
"Mar 30, 2020","2,626.65","5,751,120,000"
"Mar 27, 2020","2,541.47","6,201,670,000"
"Mar 26, 2020","2,630.07","7,766,990,000"
"Mar 25, 2020","2,475.56","8,300,010,000"
"Mar 24, 2020","2,447.33","7,563,150,000"
"Mar 23, 2020","2,237.40","7,411,380,000"
"Mar 20, 2020","2,304.92","9,053,950,000"
"Mar 19, 2020","2,409.39","7,956,100,000"
"Mar 18, 2020","2,398.10","8,799,300,000"
"Mar 17, 2020","2,529.19","8,370,250,000"
"Mar 16, 2020","2,386.13","7,805,450,000"
"Mar 13, 2020","2,711.02","8,299,070,000"
"Mar 12, 2020","2,480.64","8,850,810,000"
"Mar 11, 2020","2,741.38","7,431,200,000"
"Mar 10, 2020","2,882.23","7,642,040,000"
"Mar 09, 2020","2,746.56","8,441,290,000"
"Mar 06, 2020","2,972.37","6,555,240,000"
"Mar 05, 2020","3,023.94","5,579,290,000"
"Mar 04, 2020","3,130.12","5,073,020,000"
"Mar 03, 2020","3,003.37","6,376,510,000"
"Mar 02, 2020","3,090.23","6,381,330,000"
"Feb 28, 2020","2,954.22","8,569,570,000"
"Feb 27, 2020","2,978.76","7,064,710,000"
"Feb 26, 2020","3,116.39","5,484,650,000"
"Feb 25, 2020","3,128.21","5,596,760,000"
"Feb 24, 2020","3,225.89","4,851,160,000"
"Feb 21, 2020","3,337.75","3,908,780,000"
"Feb 20, 2020","3,373.23","4,019,180,000"
"Feb 19, 2020","3,386.15","3,614,200,000"
"Feb 18, 2020","3,370.29","3,750,400,000"
"Feb 14, 2020","3,380.16","3,419,700,000"
"Feb 13, 2020","3,373.94","3,500,890,000"
"Feb 12, 2020","3,379.45","3,930,910,000"
"Feb 11, 2020","3,357.75","3,762,940,000"
"Feb 10, 2020","3,352.09","3,462,730,000"
"Feb 07, 2020","3,327.71","3,733,920,000"
"Feb 06, 2020","3,345.78","3,887,250,000"
"Feb 05, 2020","3,334.69","4,121,480,000"
"Feb 04, 2020","3,297.59","3,996,900,000"
"Feb 03, 2020","3,248.92","3,760,460,000"
"Jan 31, 2020","3,225.52","4,529,700,000"
"Jan 30, 2020","3,283.66","3,790,350,000"
"Jan 29, 2020","3,273.40","3,600,250,000"
"Jan 28, 2020","3,276.24","3,531,570,000"
"Jan 27, 2020","3,243.63","3,831,050,000"
"Jan 24, 2020","3,295.47","3,708,780,000"
"Jan 23, 2020","3,325.54","3,766,710,000"
"Jan 22, 2020","3,321.75","3,623,780,000"
"Jan 21, 2020","3,320.79","4,104,840,000"
"Jan 17, 2020","3,329.62","3,726,220,000"
"Jan 16, 2020","3,316.81","3,540,580,000"
"Jan 15, 2020","3,289.29","3,721,490,000"
"Jan 14, 2020","3,283.15","3,687,620,000"
"Jan 13, 2020","3,288.13","3,459,390,000"
"Jan 10, 2020","3,265.35","3,214,580,000"
"Jan 09, 2020","3,274.70","3,641,230,000"
"Jan 08, 2020","3,253.05","3,726,840,000"
"Jan 07, 2020","3,237.18","3,435,910,000"
"Jan 06, 2020","3,246.28","3,702,460,000"
"Jan 03, 2020","3,234.85","3,484,700,000"
"Jan 02, 2020","3,257.85","3,459,930,000"
